class	invLeft	invRight	invTop	invBottom	gridX	gridY	gridLeft	gridRight	gridTop	gridBottom	gridBoxWidth	gridBoxHeight	rArmLeft	rArmRight	rArmTop	rArmBottom	rArmWidth	rArmHeight	torsoLeft	torsoRight	torsoTop	torsoBottom	torsoWidth	torsoHeight	lArmLeft	lArmRight	lArmTop	lArmBottom	lArmWidth	lArmHeight	headLeft	headRight	headTop	headBottom	headWidth	headHeight	neckLeft	neckRight	neckTop	neckBottom	neckWidth	neckHeight	rHandLeft	rHandRight	rHandTop	rHandBottom	rHandWidth	rHandHeight	lHandLeft	lHandRight	lHandTop	lHandBottom	lHandWidth	lHandHeight	beltLeft	beltRight	beltTop	beltBottom	beltWidth	beltHeight	feetLeft	feetRight	feetTop	feetBottom	feetWidth	feetHeight	glovesLeft	glovesRight	glovesTop	glovesBottom	glovesWidth	glovesHeight
Amazon	320	640	0	441	11	9	320	639	124	385	29	29	325	383	5	121	58	116	453	509	5	89	56	84	581	639	5	121	58	116	517	571	5	59	54	54	404	427	5	29	23	24	388	411	96	120	23	24	419	442	96	120	23	24	453	505	96	121	52	25	518	572	66	120	54	54	390	440	35	89	54	54
Sorceress	320	640	0	441	11	9	320	639	124	385	29	29	325	383	5	121	58	116	453	509	5	89	56	84	581	639	5	121	58	116	517	571	5	59	54	54	404	427	5	29	23	24	388	411	96	120	23	24	419	442	96	120	23	24	453	505	96	121	52	25	518	572	66	120	54	54	390	440	35	89	54	54
Necromancer	320	640	0	441	11	9	320	639	124	385	29	29	325	383	5	121	58	116	453	509	5	89	56	84	581	639	5	121	58	116	517	571	5	59	54	54	404	427	5	29	23	24	388	411	96	120	23	24	419	442	96	120	23	24	453	505	96	121	52	25	518	572	66	120	54	54	390	440	35	89	54	54
Paladin	320	640	0	441	11	9	320	639	124	385	29	29	325	383	5	121	58	116	453	509	5	89	56	84	581	639	5	121	58	116	517	571	5	59	54	54	404	427	5	29	23	24	388	411	96	120	23	24	419	442	96	120	23	24	453	505	96	121	52	25	518	572	66	120	54	54	390	440	35	89	54	54
Barbarian	320	640	0	441	11	9	320	639	124	385	29	29	325	383	5	121	58	116	453	509	5	89	56	84	581	639	5	121	58	116	517	571	5	59	54	54	404	427	5	29	23	24	388	411	96	120	23	24	419	442	96	120	23	24	453	505	96	121	52	25	518	572	66	120	54	54	390	440	35	89	54	54
Monster	0	321	0	442	10	10	16	305	63	352	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 1	0	321	0	219	10	5	20	305	31	167	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 2	0	321	220	442	10	5	20	305	245	387	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bank Page 1	0	321	220	442	6	4	74	244	273	386	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box Page 1	0	321	220	442	10	12	16	306	15	357	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
